epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,2691.75,1.04714,0.75508,1.12401,0.79295,0.67112,0.74436,0.47302,1.40023,1.04243,1.41551,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2742.18,1.03866,0.73909,1.12085,0.75911,0.66474,0.7371,0.47118,1.38296,1.05402,1.39895,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2792.7,1.02675,0.75444,1.11371,0.78597,0.66206,0.74626,0.47636,1.37793,1.03657,1.39472,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2842.54,1.02793,0.73682,1.11193,0.78096,0.67194,0.74813,0.4803,1.38633,1.04024,1.39752,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2892.93,1.0127,0.71533,1.10758,0.78337,0.67144,0.74794,0.47831,1.38881,1.03655,1.40758,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2942.65,1.01361,0.71465,1.10594,0.76521,0.69333,0.75017,0.47623,1.39258,1.04307,1.40999,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2992.73,1.00299,0.70187,1.09831,0.76236,0.68731,0.74921,0.47623,1.38702,1.03834,1.40878,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3042.71,0.99338,0.6957,1.09337,0.7742,0.68226,0.74769,0.47709,1.38331,1.03888,1.4047,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3092.48,0.98603,0.69656,1.09536,0.78102,0.67143,0.74811,0.47796,1.38547,1.02897,1.41325,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3142.74,0.98053,0.68474,1.088,0.79084,0.67224,0.74758,0.47576,1.39598,1.02805,1.41113,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3192.27,0.97006,0.6786,1.08487,0.80073,0.66841,0.74463,0.47427,1.39758,1.0418,1.41884,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3242.05,0.96631,0.66685,1.07933,0.78883,0.67409,0.74672,0.47715,1.39313,1.03497,1.41495,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3291.93,0.96407,0.66705,1.07818,0.80975,0.65609,0.74195,0.47098,1.39964,1.04157,1.42028,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3341.68,0.95135,0.65021,1.07121,0.79395,0.64877,0.73382,0.46814,1.39918,1.06829,1.42218,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3391.36,0.95018,0.65516,1.07048,0.77262,0.66767,0.73958,0.47203,1.38771,1.05478,1.41038,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3441.32,0.93932,0.64433,1.06733,0.77574,0.67338,0.73622,0.46943,1.39643,1.05784,1.42031,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3490.95,0.93829,0.64249,1.06204,0.77937,0.68071,0.73808,0.47328,1.39708,1.0525,1.41692,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3542.7,0.92741,0.63341,1.05777,0.78963,0.66739,0.73938,0.47093,1.39595,1.04943,1.41832,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3593.41,0.91771,0.62705,1.05288,0.77784,0.68281,0.7421,0.4717,1.39656,1.04797,1.42006,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3645.66,0.91328,0.62126,1.05254,0.79253,0.66889,0.73908,0.4698,1.39891,1.05847,1.42358,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3698.16,0.90825,0.61612,1.04874,0.78681,0.66335,0.73897,0.46975,1.40112,1.04834,1.42478,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3749.08,0.90069,0.60848,1.04742,0.77268,0.67632,0.73675,0.46911,1.40405,1.06386,1.43461,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3801.55,0.8911,0.60545,1.04459,0.79936,0.66662,0.73983,0.47026,1.39897,1.0649,1.43319,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3852.27,0.88132,0.59679,1.03704,0.77597,0.681,0.74051,0.46995,1.39813,1.06742,1.42812,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3904.6,0.88126,0.60981,1.03453,0.78121,0.67385,0.73972,0.47105,1.39818,1.06601,1.42946,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3955.52,0.8682,0.58355,1.02937,0.7829,0.67381,0.73836,0.47016,1.39981,1.06289,1.43071,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4007.6,0.86985,0.58141,1.03,0.78187,0.6736,0.73823,0.46904,1.40078,1.06791,1.43128,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4058.47,0.85926,0.57746,1.02708,0.80154,0.65534,0.7338,0.46641,1.40519,1.07892,1.43709,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4110.65,0.85686,0.5766,1.02853,0.80777,0.65892,0.73858,0.46926,1.40552,1.07544,1.43984,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4161.69,0.84815,0.5623,1.02298,0.81055,0.65568,0.74276,0.47144,1.40624,1.07216,1.44024,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4213.94,0.84148,0.56115,1.01593,0.77674,0.67945,0.74422,0.47054,1.40618,1.0752,1.44218,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4264.86,0.84024,0.56039,1.01691,0.77935,0.67433,0.73902,0.4695,1.40643,1.08056,1.44403,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4317.2,0.83681,0.56532,1.02295,0.79487,0.67527,0.7417,0.46956,1.40539,1.07962,1.44556,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4367.93,0.8251,0.5496,1.01345,0.77769,0.68221,0.7404,0.46854,1.40543,1.08228,1.44553,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4419.94,0.82139,0.54406,1.00778,0.80096,0.66923,0.74014,0.46659,1.40686,1.08507,1.44481,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
